PWSID,System_Name,County,Regulating_Agency,Water_Quality_Risk_Level_Display,Accessability_Risk_Level_Display,Affordability_Risk_Level_Display,TMF_Capacity_Risk_Level_Display,POPULATION ,SAFER_STATUS,Distinct count of PWSID,Funding Since 2017
CA3310080,LAKE HEMET MWD-CAMP GROUND,RIVERSIDE,DISTRICT 20 - RIVERSIDE,No Risk,High Risk,No Risk,Low Risk,600,Not At-Risk,1,$0 
CA3310081,PALM SPRINGS CREST,RIVERSIDE,DISTRICT 20 - RIVERSIDE,No Risk,Low Risk,Medium Risk,Medium Risk,399,Not At-Risk,1,$0 
CA3310083,CHINO BASIN DESALTER AUTH. - DESALTER 2,RIVERSIDE,DISTRICT 20 - RIVERSIDE,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA3310800,CALIFORNIA REHABILITATION CENTER - NORCO,RIVERSIDE,DISTRICT 20 - RIVERSIDE,No Risk,Medium Risk,No Risk,Medium Risk,"4,300",At-Risk,1,$0 
CA3310801,BAUTISTA CC NO. 36,RIVERSIDE,DISTRICT 20 - RIVERSIDE,Low Risk,High Risk,No Risk,High Risk,73,Potentially At-Risk,1,$0 
CA3310802,CHUCKAWALLA VALLEY STATE PRISON,RIVERSIDE,DISTRICT 20 - RIVERSIDE,High Risk,Low Risk,Low Risk,High Risk,"4,090",At-Risk,1,$0 
CA3400101,HOOD WATER MAINTENCE DIST [SWS],SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Low Risk,Low Risk,Medium Risk,Low Risk,271,Not At-Risk,1,$0 
CA3400103,B & W RESORT MARINA,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,Medium Risk,Medium Risk,Low Risk,100,At-Risk,1,$0 
CA3400106,EAST WALNUT GROVE [SWS],SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,Low Risk,Low Risk,Low Risk,300,Potentially At-Risk,1,"$638,260 "
CA3400107,RIVER'S EDGE MARINA & RESORT,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,High Risk,Medium Risk,Medium Risk,210,At-Risk,1,$0 
CA3400121,EL DORADO MOBILE HOME PARK,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,Low Risk,Medium Risk,Low Risk,318,At-Risk,1,$0 
CA3400122,EL DORADO WEST MHP,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,High Risk,Medium Risk,Low Risk,203,Not At-Risk,1,$0 
CA3400125,FREEPORT MARINA,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Low Risk,Low Risk,Medium Risk,High Risk,45,Potentially At-Risk,1,$0 
CA3400128,HAPPY HARBOR (SWS),SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Low Risk,High Risk,Medium Risk,Low Risk,60,Potentially At-Risk,1,$0 
CA3400130,MAGNOLIA MUTUAL WATER,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,High Risk,High Risk,Low Risk,No Risk,90,Failing,1,$0 
CA3400135,KORTHS PIRATES LAIR,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,High Risk,Medium Risk,Medium Risk,55,At-Risk,1,$0 
CA3400137,LINCOLN CHAN-HOME RANCH,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,Low Risk,Low Risk,Medium Risk,33,Potentially At-Risk,1,$0 
CA3400138,LOCKE WATER WORKS CO [SWS],SACRAMENTO,LPA64 - SACRAMENTO COUNTY,High Risk,High Risk,Low Risk,Low Risk,80,Failing,1,"$638,260 "
CA3400149,RANCHO MARINA,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,High Risk,High Risk,High Risk,High Risk,250,Failing,1,$0 
CA3400155,SEQUOIA WATER ASSOC,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,High Risk,Low Risk,Low Risk,54,At-Risk,1,$0 
CA3400156,SOUTHWEST TRACT W M D [SWS],SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,Medium Risk,Medium Risk,Low Risk,103,Not At-Risk,1,$0 
CA3400164,"VIEIRA'S RESORT, INC",SACRAMENTO,LPA64 - SACRAMENTO COUNTY,High Risk,Medium Risk,Medium Risk,Low Risk,200,At-Risk,1,$0 
CA3400169,SPINDRIFT MARINA,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,High Risk,High Risk,Low Risk,100,At-Risk,1,$0 
CA3400172,TOKAY PARK WATER CO,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,High Risk,High Risk,High Risk,Low Risk,653,At-Risk,1,$0 
CA3400179,MC CLELLAN MHP,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Low Risk,Low Risk,Medium Risk,Low Risk,700,Not At-Risk,1,$0 
CA3400181,LAGUNA DEL SOL INC,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,Low Risk,No Risk,Low Risk,445,Not At-Risk,1,$0 
CA3400190,IMPERIAL MANOR MOBILEHOME COMMUNITY,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Low Risk,High Risk,Medium Risk,No Risk,280,Not At-Risk,1,$0 
CA3400191,ELEVEN OAKS MOBILE HOME COMMUNITY,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,Low Risk,Medium Risk,No Risk,262,Potentially At-Risk,1,$0 
CA3400192,TUNNEL TRAILER PARK,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Low Risk,High Risk,No Risk,Low Risk,48,Not At-Risk,1,$0 
CA3400217,HOMETOWN COLONIAL ESTATES LLC,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,Low Risk,Medium Risk,Low Risk,400,At-Risk,1,$0 
CA3400229,RIO COSUMNES CORRECTIONAL CENTER [SWS],SACRAMENTO,LPA64 - SACRAMENTO COUNTY,High Risk,Medium Risk,Low Risk,Medium Risk,"2,800",At-Risk,1,$0 
CA3400248,FRANKLIN ELEMENTARY SCHOOL,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,High Risk,High Risk,No Risk,No Risk,650,At-Risk,1,$0 
CA3400250,PLEASANT GROVE ELEMENTARY SCHOOL,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,High Risk,No Risk,No Risk,185,Not At-Risk,1,$0 
CA3400251,SIERRA ENTERPRISE ELEMENTARY SCHOOL,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,High Risk,No Risk,No Risk,430,Not At-Risk,1,$0 
CA3400253,COSUMNES RIVER ELEMENTARY SCHOOL,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,High Risk,No Risk,No Risk,560,At-Risk,1,$0 
CA3400254,DILLARD ELEMENTARY SCHOOL,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,High Risk,No Risk,No Risk,350,Not At-Risk,1,$0 
CA3400267,BATES ELEMENTARY SCHOOL,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,Low Risk,Low Risk,No Risk,375,Not At-Risk,1,$0 
CA3400268,WALNUT GROVE ELEMENTARY SCHOOL,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,High Risk,Low Risk,No Risk,200,Not At-Risk,1,$0 
CA3400271,ARCOHE ELEM SCHOOL - MAIN CAMPUS,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,Medium Risk,No Risk,No Risk,465,Not At-Risk,1,$0 
CA3400273,WILTON BIBLE CHURCH,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,High Risk,High Risk,No Risk,Low Risk,210,At-Risk,1,$0 
CA3400296,SAC CITY MOBILE HOME COMMUNITY LP,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Low Risk,Low Risk,Medium Risk,Low Risk,350,Potentially At-Risk,1,$0 
CA3400331,WESTERNER MOBILE HOME PARK,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Low Risk,High Risk,Medium Risk,Medium Risk,65,At-Risk,1,$0 
CA3400335,HOLIDAY MOBILE VILLAGE,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,Low Risk,Medium Risk,Low Risk,200,Potentially At-Risk,1,$0 
CA3400364,JEAN HARVIE SCHOOL [SWS],SACRAMENTO,LPA64 - SACRAMENTO COUNTY,No Risk,High Risk,Low Risk,No Risk,30,Not At-Risk,1,$0 
CA3400397,LAGUNA VILLAGE RV PARK,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Low Risk,High Risk,Medium Risk,Low Risk,28,At-Risk,1,$0 
CA3400401,PLANTATION MOBILE HOME PARK,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,High Risk,Medium Risk,Medium Risk,22,At-Risk,1,$0 
CA3400402,SHELDON ACRES DEV CENTER,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,100,Not Assessed,1,$0 
CA3400433,EDGEWATER MOBILE HOME PARK,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,Medium Risk,Medium Risk,Medium Risk,Low Risk,40,At-Risk,1,$0 
CA3410001,SACRAMENTO SUBURBAN WATER DISTRICT,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"194,444",Not Assessed,1,$0 
CA3410002,SCWA - ARDEN PARK VISTA,SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,No Risk,No Risk,Low Risk,"10,101",Not At-Risk,1,$0 
CA3410003,GOLDEN STATE WATER CO - ARDEN WATER SERV,SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,Low Risk,Low Risk,No Risk,"5,658",Not At-Risk,1,$0 
CA3410004,CARMICHAEL WATER DISTRICT,SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,No Risk,Low Risk,Low Risk,"41,193",Not At-Risk,1,$0 
CA3410005,RANCHO MURIETA COMMUNITY SERVI,SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,High Risk,No Risk,Low Risk,"5,728",Not At-Risk,1,$0 
CA3410006,CITRUS HEIGHTS WATER DISTRICT,SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,No Risk,Low Risk,Low Risk,"67,818",Not At-Risk,1,$0 
CA3410007,DEL PASO MANOR COUNTY WATER DI,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,Low Risk,Low Risk,Low Risk,"4,854",Not At-Risk,1,$0 
CA3410008,ELK GROVE WATER DISTRICT,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,No Risk,No Risk,No Risk,"43,813",Not At-Risk,1,$0 
CA3410009,FAIR OAKS WATER DISTRICT,SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,No Risk,No Risk,No Risk,"36,226",Not At-Risk,1,$0 
CA3410010,CAL AM - SUBURBAN ROSEMONT,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,No Risk,Low Risk,No Risk,"54,793",Not At-Risk,1,$0 
CA3410011,"GALT, CITY OF",SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,Low Risk,Low Risk,No Risk,"26,536",Not At-Risk,1,$0 
CA3410012,CAL AM - ISLETON,SACRAMENTO,DISTRICT 09 - SACRAMENTO,High Risk,Low Risk,No Risk,No Risk,"1,693",Not At-Risk,1,$0 
CA3410013,CAL AM - LINCOLN OAKS,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,No Risk,Low Risk,No Risk,"48,094",Not At-Risk,1,$0 
CA3410014,"FOLSOM, CITY OF - MAIN",SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,No Risk,No Risk,Low Risk,"80,969",Not At-Risk,1,$0 
CA3410015,GOLDEN STATE WATER CO. - CORDOVA,SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,No Risk,No Risk,No Risk,"47,161",Not At-Risk,1,$0 
CA3410016,ORANGE VALE WATER COMPANY,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Medium Risk,No Risk,No Risk,Low Risk,"16,861",Not At-Risk,1,$0 
CA3410017,CAL AM - PARKWAY,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Medium Risk,No Risk,Medium Risk,No Risk,"50,573",Not At-Risk,1,$0 
CA3410018,RIO LINDA/ELVERTA COMMUNITY WATER DIST,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,No Risk,No Risk,No Risk,"15,460",Not At-Risk,1,$0 
CA3410020,CITY OF SACRAMENTO MAIN,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"520,407",Not Assessed,1,"$139,170,107 "
CA3410021,SAN JUAN WATER DISTRICT,SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,High Risk,No Risk,No Risk,"29,598",Not At-Risk,1,"$27,115,621 "
CA3410022,OLYMPIA MOBILODGE,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,Low Risk,Medium Risk,Medium Risk,450,Potentially At-Risk,1,$0 
CA3410023,CAL AM - FRUITRIDGE VISTA,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,No Risk,Medium Risk,No Risk,"15,652",Not At-Risk,1,$0 
CA3410026,CALIFORNIA STATE FAIR,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,Low Risk,Medium Risk,No Risk,"9,280",Not At-Risk,1,$0 
CA3410029,SCWA - LAGUNA/VINEYARD,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"184,896",Not Assessed,1,$0 
CA3410030,"FOLSOM, CITY OF - ASHLAND",SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,Medium Risk,No Risk,Low Risk,"3,317",Not At-Risk,1,$0 
CA3410031,CAL AM - ANTELOPE,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,No Risk,No Risk,No Risk,"35,534",Not At-Risk,1,$0 
CA3410032,FOLSOM STATE PRISON,SACRAMENTO,DISTRICT 09 - SACRAMENTO,No Risk,High Risk,No Risk,Medium Risk,"7,502",Potentially At-Risk,1,$0 
CA3410033,FLORIN COUNTY WATER DISTRICT,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,Medium Risk,High Risk,Low Risk,"7,831",At-Risk,1,$0 
CA3410045,CAL AM - ARDEN,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Medium Risk,No Risk,Medium Risk,No Risk,"4,191",Not At-Risk,1,$0 
CA3410047,CAL AM - WALNUT GROVE,SACRAMENTO,DISTRICT 09 - SACRAMENTO,High Risk,Low Risk,Medium Risk,No Risk,667,At-Risk,1,$0 
CA3410704,SCWA MATHER-SUNRISE,SACRAMENTO,DISTRICT 09 - SACRAMENTO,Low Risk,No Risk,No Risk,Low Risk,"30,825",Not At-Risk,1,$0 
CA3500006,CSA NO. 31 STONEGATE WS,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,High Risk,High Risk,Low Risk,230,Failing,1,$0 
CA3500505,THOUSAND TRAILS SAN BENITO PRESERVE,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,Low Risk,No Risk,High Risk,"1,017",At-Risk,1,$0 
CA3500509,TRES PINOS CWD,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,High Risk,No Risk,Low Risk,350,At-Risk,1,$0 
CA3500510,MCMAHON ROAD MUTUAL WATER COMPANY,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,High Risk,No Risk,Low Risk,102,Not At-Risk,1,$0 
CA3500511,CASA DE FRUTA ORCHARDS,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,High Risk,Medium Risk,Low Risk,53,Not At-Risk,1,$0 
CA3500521,SOUTHSIDE ELEMENTARY SCHOOL,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,High Risk,No Risk,No Risk,300,Not At-Risk,1,$0 
CA3500527,VALENZUELA WATER SYSTEM,SAN BENITO,DISTRICT 05 - MONTEREY,High Risk,High Risk,Medium Risk,High Risk,55,Failing,1,$0 
CA3500549,ROSA MORADA MUTUAL WATER COMPANY,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,Low Risk,No Risk,No Risk,138,Not At-Risk,1,$0 
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,SAN BENITO,DISTRICT 05 - MONTEREY,Medium Risk,High Risk,Low Risk,Low Risk,160,At-Risk,1,$0 
CA3500552,VENTURE ESTATES MWC,SAN BENITO,DISTRICT 05 - MONTEREY,Medium Risk,High Risk,No Risk,Low Risk,50,At-Risk,1,$0 
CA3500556,MISSION FARM R.V. PARK,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,No Risk,No Risk,Medium Risk,110,Not At-Risk,1,$0 
CA3500571,SAN BENITO HIGH SCHOOL,SAN BENITO,DISTRICT 05 - MONTEREY,Medium Risk,No Risk,Medium Risk,No Risk,"3,310",Not At-Risk,1,$0 
CA3500575,SPRINGWOOD ESTATES MWC,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,High Risk,Medium Risk,Low Risk,50,Potentially At-Risk,1,$0 
CA3500576,AROMAS HILLS MUTUAL WATER ASSOCIATION,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,High Risk,No Risk,No Risk,33,Not At-Risk,1,$0 
CA3500578,LOS MADRONES MWC,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,Low Risk,High Risk,Low Risk,36,Potentially At-Risk,1,$0 
CA3500579,VINEYARD ESTATES MWC,SAN BENITO,DISTRICT 05 - MONTEREY,Medium Risk,High Risk,No Risk,Low Risk,90,At-Risk,1,$0 
CA3500581,RANCHO SAN JOAQUIN MWC,SAN BENITO,DISTRICT 05 - MONTEREY,High Risk,High Risk,No Risk,No Risk,914,Failing,1,$0 
CA3500801,WILLOW GROVE UNION ELEMENTARY SCHOOL,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,High Risk,No Risk,No Risk,25,At-Risk,1,$0 
CA3500810,WHISPERING PINES INN,SAN BENITO,DISTRICT 05 - MONTEREY,High Risk,High Risk,Medium Risk,High Risk,38,At-Risk,1,$0 
CA3500825,UNION HEIGHTS MWC,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,Low Risk,High Risk,No Risk,98,Potentially At-Risk,1,$0 
CA3500830,FALLON ROAD LABOR HOUSING,SAN BENITO,DISTRICT 05 - MONTEREY,High Risk,High Risk,Low Risk,Low Risk,84,At-Risk,1,$0 
CA3500836,BETABEL RV RESORT,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,High Risk,No Risk,Low Risk,49,Not At-Risk,1,$0 
CA3500900,ASHFORD HIGHLANDS MWC,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,Low Risk,High Risk,Low Risk,132,At-Risk,1,$0 
CA3500904,HOLLISTER RANCH ESTATES,SAN BENITO,DISTRICT 05 - MONTEREY,High Risk,High Risk,High Risk,Low Risk,150,Failing,1,$0 
CA3500905,ANZAR HIGH SCHOOL,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,No Risk,No Risk,No Risk,268,Not At-Risk,1,$0 
CA3500910,DUNNEVILLE ESTATES CSA #50,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,Low Risk,High Risk,Low Risk,120,Not At-Risk,1,$0 
CA3500911,CREEKBRIDGE MUTUAL WATER COMPANY,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,High Risk,High Risk,No Risk,69,Potentially At-Risk,1,$0 
CA3500912,COMSTOCK MUTUAL WATER COMPANY,SAN BENITO,DISTRICT 05 - MONTEREY,No Risk,High Risk,Medium Risk,No Risk,100,Not At-Risk,1,$0 
CA3510001,"HOLLISTER, CITY OF",SAN BENITO,DISTRICT 05 - MONTEREY,High Risk,No Risk,Low Risk,High Risk,"26,017",At-Risk,1,$0 
CA3510002,"SAN JUAN BAUTISTA, CITY OF",SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,Low Risk,No Risk,Low Risk,"2,335",Not At-Risk,1,$0 
CA3510003,SUNNYSLOPE COUNTY WATER DIST,SAN BENITO,DISTRICT 05 - MONTEREY,Medium Risk,No Risk,No Risk,No Risk,"24,954",Not At-Risk,1,$0 
CA3510004,AROMAS WATER DISTRICT,SAN BENITO,DISTRICT 05 - MONTEREY,Low Risk,Medium Risk,No Risk,No Risk,"2,988",Not At-Risk,1,$0 
CA3510006,MISSION OAKS MOBILE HOME PARK,SAN BENITO,DISTRICT 05 - MONTEREY,Medium Risk,No Risk,No Risk,Medium Risk,550,Potentially At-Risk,1,$0 
CA3510007,SAN BENITO COUNTY WATER DISTRICT,SAN BENITO,DISTRICT 05 - MONTEREY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,25,Not Assessed,1,$0 
CA3510008,GOLDEN STATE WATER CO - SAN JUAN OAKS,SAN BENITO,DISTRICT 05 - MONTEREY,Medium Risk,Low Risk,No Risk,No Risk,159,Not At-Risk,1,$0 
CA3510011,HOLLISTER SDA CHRISTIAN SCHOOL,SAN BENITO,DISTRICT 05 - MONTEREY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,122,Not Assessed,1,$0 
CA3600008,APPLE VALLEY FOOTHILL CWD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,No Risk,No Risk,811,Not At-Risk,1,$0 
CA3600009,APPLE VALLEY HEIGHTS CWD,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,Low Risk,No Risk,Low Risk,983,Potentially At-Risk,1,"$372,028 "
CA3600010,LIBERTY-BELLVIEW HEIGHTS,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,No Risk,Low Risk,Medium Risk,155,Not At-Risk,1,$0 
CA3600012,APPLE VALLEY VIEW MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,No Risk,No Risk,303,Failing,1,$0 
CA3600022,BAKER COMMUNITY SERVICES DISTRICT,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,Medium Risk,No Risk,"1,000",At-Risk,1,$0 
CA3600025,BAR-LEN MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,High Risk,Low Risk,126,Failing,1,"$89,978 "
CA3600027,"BAR ""H"" MWC",SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,High Risk,Low Risk,260,Failing,1,$0 
CA3600031,BIG PINE TRACT,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,Low Risk,No Risk,300,Not At-Risk,1,$0 
CA3600064,CAMP WATERMAN MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Low Risk,55,Not At-Risk,1,$0 
CA3600070,CENTER WATER CO,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,Medium Risk,No Risk,662,Not At-Risk,1,$0 
CA3600071,CHAMISAL MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,High Risk,High Risk,High Risk,84,Failing,1,$0 
CA3600086,DAGGETT COMM SVCS DIST,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,High Risk,High Risk,No Risk,795,Failing,1,$0 
CA3600087,DEER LODGE WATER SYSTEM,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,Low Risk,845,Not At-Risk,1,$0 
CA3600088,DESERT DAWN MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,Medium Risk,Low Risk,150,Not At-Risk,1,$0 
CA3600089,DESERT SPRINGS MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,High Risk,No Risk,325,Not At-Risk,1,$0 
CA3600094,DOGWOOD BLUE JAY CYN IMP,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,Medium Risk,High Risk,232,Potentially At-Risk,1,$0 
CA3600107,FOREST PARK MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,Low Risk,Low Risk,406,At-Risk,1,$0 
CA3600108,GLEN HELEN WATER SYSTEM,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,No Risk,No Risk,No Risk,"5,900",Not At-Risk,1,$0 
CA3600114,CSA 70 W-3 HACIENDA,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,High Risk,High Risk,Medium Risk,611,Failing,1,$0 
CA3600123,HI DESERT MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,High Risk,Low Risk,112,Failing,1,"$98,565 "
CA3600133,OAK GLEN RETREAT,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,High Risk,No Risk,High Risk,576,Potentially At-Risk,1,$0 
CA3600139,JUBILEE MWC,SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,Medium Risk,Low Risk,782,Potentially At-Risk,1,"$7,591,954 "
CA3600152,LOMA LINDA UNIVERSITY,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,No Risk,Medium Risk,Medium Risk,"15,368",Potentially At-Risk,1,$0 
CA3600155,RIVER RANCH MHP,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,Low Risk,Low Risk,176,Failing,1,"$2,100,000 "
CA3600156,LUCERNE VALLEY MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,High Risk,Low Risk,228,Not At-Risk,1,$0 
CA3600157,LUCERNE VISTA MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,High Risk,High Risk,224,At-Risk,1,$0 
CA3600158,LYTLE SPRINGS WC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,High Risk,No Risk,475,Not At-Risk,1,$0 
CA3600166,MILL CREEK MSC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,No Risk,No Risk,No Risk,315,Not At-Risk,1,$0 
CA3600172,MP MINE OPERATIONS LLC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,High Risk,Low Risk,626,Potentially At-Risk,1,$0 
CA3600180,NAVAJO MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,Low Risk,No Risk,No Risk,264,Not At-Risk,1,$0 
CA3600184,NORTH SHORE MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,Low Risk,Low Risk,7,At-Risk,1,$0 
CA3600185,OAK GLEN DOMESTIC WATER,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,No Risk,No Risk,No Risk,Low Risk,180,Not At-Risk,1,$0 
CA3600187,OLIVE DELL RANCH,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,High Risk,Low Risk,Low Risk,Medium Risk,350,At-Risk,1,$0 
CA3600196,CSA 70 W-4 PIONEERTOWN,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Medium Risk,Medium Risk,High Risk,Low Risk,470,At-Risk,1,"$2,700,000 "
CA3600200,RANCHERITOS MWC,SAN BERNARDINO,LPA66 - SAN BERNARDINO COUNTY,Low Risk,No Risk,Medium Risk,Low Risk,487,Not At-Risk,1,$0 
