PWSID,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population, Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies
CA3110124,PLACER CWA - MONTE VISTA,PLACER,DISTRICT 09 - SACRAMENTO,COMMUNITY,17,46,RESIDENTIAL AREA              ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3110150,CAL AM - WEST PLACER,PLACER,DISTRICT 09 - SACRAMENTO,COMMUNITY,2246,7412,RESIDENTIAL AREA              ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,4,N,N,N,0
CA3200078,FRCCSD OLD MILL RANCH,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,36,32,RESIDENTIAL AREA              ,0,1.5,1.42,0.67,0.9,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA3200102,WHITEHAWK RANCH MWC,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,200,765,RESIDENTIAL AREA              ,0,1.5,0.75,0,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3200104,GRIZZLY LAKE CSD-DELLEKER,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,351,1314,RESIDENTIAL AREA              ,2.5,0.33,0.75,0.83,1.1,--,At-Risk,Failing,Failing,2,Y,N,N,0
CA3200107,GRIZZLY LAKE CSD-CROCKER/WELCH,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,73,215,RESIDENTIAL AREA              ,0,0,0.75,1.17,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA3200114,EVERGREEN MOTEL & MHP,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,40,28,RESIDENTIAL AREA              ,0.25,1.33,0,0.67,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3200127,ARLINGTON HEIGHTS MHP,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,39,33,MOBILE HOME PARK              ,0,1.33,0.67,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3200134,BLAIRSDEN WATER USERS ASSN,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,50,200,RESIDENTIAL AREA              ,0.5,3,0,0.83,1.08,At-Risk,At-Risk,Failing,Failing,1,Y,N,Y,0
CA3200138,MEADOW EDGE MHP,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,31,53,MOBILE HOME PARK              ,0,0.33,0,0.67,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA3200148,FEATHER RIVER RV & MHP,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,18,741,MOBILE HOME PARK              ,0,0.33,0,1,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3200155,FRCCSD HOT SPRINGS,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,17,25,RESIDENTIAL AREA              ,0,1.33,1.67,0.67,0.92,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA3200188,GREENHORN CREEK CSD,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,136,280,RESIDENTIAL AREA              ,0,0.33,1.33,1,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA3200189,VALIVU ESTATES MHP,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,19,54,MOBILE HOME PARK              ,0,1.33,0,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3200195,GREENHAVEN HOA,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,18,38,RESIDENTIAL AREA              ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3200509,CLIO PUBLIC UTILITY DISTRICT,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,53,79,RESIDENTIAL AREA              ,0,1.33,1,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3200510,IVCSD CRESCENT MILLS,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,79,258,RESIDENTIAL AREA              ,0,0.33,2,0.33,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA3205001,WALKER RANCH CSD,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,171,150,RESIDENTIAL AREA              ,0,2,0.33,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3205003,GOLD MOUNTAIN CSD,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,101,135,RESIDENTIAL AREA              ,0,0.33,1,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,5,Y,N,N,0
CA3205006,GRIZZLY RANCH CSD,PLUMAS,LPA62 - PLUMAS COUNTY,COMMUNITY,65,102,RESIDENTIAL AREA              ,0.25,0.33,1.33,0,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA3210001,IVCSD-GREENVILLE,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,269,630,RESIDENTIAL AREA              ,0,1.33,1,0.5,0.71,At-Risk,At-Risk,Non-Failing,At-Risk,2,Y,N,Y,0
CA3210003,CITY OF PORTOLA,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,1154,2100,RESIDENTIAL AREA              ,0,0,1.08,0,0.27,--,Not At-Risk,Non-Failing,Not At-Risk,5,N,N,N,0
CA3210004,AMERICAN VALLEY CSD,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,1613,4093,OTHER AREA                    ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,13,N/A,N,N,0
CA3210005,GRAEAGLE WATER COMPANY,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,939,737,RESIDENTIAL AREA              ,0,2,0,0.5,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA3210006,LAKE ALMANOR COUNTRY CLUB MWC,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,1714,6000,RESIDENTIAL AREA              ,1.5,0.33,1,0,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,5,Y,N,N,0
CA3210007,WEST ALMANOR M.W.C.,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,500,1394,RESIDENTIAL AREA              ,0.25,0.33,0.92,0.17,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA3210009,CHESTER PUBLIC U.D.,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,1300,2145,RESIDENTIAL AREA              ,1.5,0.33,0,0.17,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA3210010,HAMILTON BRANCH CSD,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,645,1874,RESIDENTIAL AREA              ,0,1.33,0,0.17,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,Y,N,0
CA3210011,PLUMAS EUREKA CSD,PLUMAS,DISTRICT 02 - LASSEN,COMMUNITY,557,1534,RESIDENTIAL AREA              ,0,0.33,0.92,0,0.31,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301011,STONE CREEK WATER COMPANY,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,21,152,RESIDENTIAL AREA              ,0,0.33,2,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301018,ANZA PINES MOBILE HOME PARK,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,47,90,RESIDENTIAL AREA              ,0.38,2,0.67,0.67,0.93,At-Risk,At-Risk,Non-Failing,At-Risk,3,Y,N,Y,0
CA3301028,BALDY MOUNTAIN RANCH,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,80,80,MOBILE HOME PARK              ,1,2,0,1.67,1.17,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,1
CA3301031,BANNING HTS. MUTUAL WATER CO.,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,178,567,RESIDENTIAL AREA              ,0,0,0.75,1.33,0.52,--,Not At-Risk,Non-Failing,Not At-Risk,5,N,N,N,0
CA3301040,RIVERDALE ESTATES,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,186,300,MOBILE HOME PARK              ,0,1.33,0.33,0.67,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3301045,BLYTHE MOBILE HOME ESTATES,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,24,35,MOBILE HOME PARK              ,0.75,1.5,0.67,1.67,1.15,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA3301055,HARMONY HAVEN,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,12,54,INSTITUTION                   ,0,0.5,0,0.67,0.29,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301107,CARVER TRACT MUTUAL WATER COMP,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,188,600,RESIDENTIAL AREA              ,1.5,1.33,0.67,1.67,1.29,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA3301114,CHERRY VALLEY WATER COMPANY,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,75,210,RESIDENTIAL AREA              ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA3301115,CHIRIACO SUMMIT WATER DIST.,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,40,544,RESIDENTIAL AREA              ,0,1,1.5,0.17,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,N,N,N,0
CA3301145,MOUNTAIN CENTER CAFE,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,16,77,OTHER TRANSIENT AREA          ,0.25,0.5,0.67,0.67,0.52,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301169,MURRIETA PALMS MOBILE HOME PARK,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,71,237,MOBILE HOME PARK              ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3301171,BRADFORD RUN RV,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,59,84,OTHER TRANSIENT AREA          ,2.5,2,0.67,1,1.54,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA3301180,ANZA MUTUAL WATER COMPANY,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,85,224,RESIDENTIAL AREA              ,1,0.33,1.42,0.33,0.77,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA3301209,DESERT VIEW TRAILER PARK,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,22,60,RESIDENTIAL AREA              ,0,1.33,0.33,0.67,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3301226,MWD - EAGLE MOUNTAIN,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,25,16,RESIDENTIAL AREA              ,0,1.33,0.33,1,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA3301267,FISHERMAN'S RETREAT,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,172,402,RESIDENTIAL AREA              ,0.75,3,0,0,0.94,At-Risk,At-Risk,Failing,Failing,1,Y,N,Y,0
CA3301280,GOLDEN ERA PRODUCTIONS,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,29,500,OTHER RESIDENTIAL AREA        ,0.25,0.33,0.33,1,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301283,GLEN EDEN SUN CLUB,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,407,566,RESIDENTIAL AREA              ,1,0,0,1.67,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,3,N,N,N,2
CA3301294,GLEN IVY HOT SPRINGS,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,54,1087,OTHER RESIDENTIAL AREA        ,0,0,0,0.67,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA3301308,COTTONWOOD SCHOOL,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,NON-TRANSIENT NON-COMMUNITY,7,202,SCHOOL                        ,1.5,0.33,0.67,0,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA3301309,HAMILTON SCHOOL,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,NON-TRANSIENT NON-COMMUNITY,20,666,SCHOOL                        ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301330,INDIAN OAKS TRAILER PARK,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,63,90,OTHER TRANSIENT AREA          ,3,1.5,0,0.67,1.29,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA3301355,ANZA RV RESORT,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,117,120,OTHER TRANSIENT AREA          ,0,0.33,0.67,0.83,0.46,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301380,SAN ANTONIO MOBILE HOME PARK,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,68,340,MOBILE HOME PARK              ,2,1.5,0.67,0.67,1.21,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA3301381,CSA 51,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,77,350,MOBILE HOME PARK              ,2,1.33,1.5,0.33,1.29,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA3301428,BLYTHE - MESA RANCH,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,188,558,RESIDENTIAL AREA              ,0,0.33,0,1,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301482,ORTEGA OAKS RV PARK&CAMPGROUND,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,77,180,RECREATION AREA               ,3,0.5,0,0.67,1.04,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA3301491,ALPINE VILLAGE,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,60,198,RESIDENTIAL AREA              ,0.5,3,1.33,0.17,1.25,At-Risk,At-Risk,Failing,Failing,5,Y,Y,Y,0
CA3301502,PARADISE VALLEY MWC,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,36,30,OTHER RESIDENTIAL AREA        ,2,0.33,0,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301511,PINYON CREST HOA,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,90,104,RESIDENTIAL AREA              ,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA3301512,PINYON PINES COUNTY WATER DIST,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,82,232,RESIDENTIAL AREA              ,0.5,3,0.33,0.67,1.13,--,At-Risk,Failing,Failing,1,Y,Y,N,0
CA3301528,OAK HAVEN ASSOCIATION,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,36,92,RESIDENTIAL AREA              ,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA3301529,RAMONA WATER COMPANY,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,95,250,RESIDENTIAL AREA              ,3,3,1.42,1,2.11,At-Risk,At-Risk,Failing,Failing,4,Y,Y,Y,0
CA3301534,RANCHO CALIMESA MOBILE HOME PARK,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,207,302,RESIDENTIAL AREA              ,0.75,0.33,0,0,0.27,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301535,RANCHO CARRILLO MWC,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,75,210,RESIDENTIAL AREA              ,1,0.33,0,0.17,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,5,Y,N,N,0
CA3301541,RECHE CANYON MUTUAL WATER CO.,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,53,150,RESIDENTIAL AREA              ,0.25,0.33,0.33,0.67,0.4,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA3301577,CSA 62,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,156,538,RESIDENTIAL AREA              ,2.5,1.33,1.08,0.33,1.31,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA3301588,ROYAL CARRIZO HOA,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,20,25,RESIDENTIAL AREA              ,1.5,1,0.75,0,0.81,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA3301630,BLYTHE - HIDDEN BEACHES,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,123,393,MOBILE HOME PARK              ,0.75,1.33,0.33,0.33,0.69,--,Potentially At-Risk,Failing,Failing,1,Y,N,N,0
CA3301676,THOMAS MOUNTAIN WATER COMPANY,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,56,157,RESIDENTIAL AREA              ,0.5,1.33,0,0,0.46,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA3301682,TRAILS END MUTUAL WATER COMPANY,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,34,52,RESIDENTIAL AREA              ,0,2,0,0.67,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA3301717,VALLEY VIEW TRAILER PARK,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,37,135,MOBILE HOME PARK              ,2,1.5,0.33,0.67,1.13,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA3301775,HIGH VALLEYS WATER DISTRICT,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,244,733,RESIDENTIAL AREA              ,0,1,0.92,1,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,N,N,N,2
CA3301800,STONEWOOD CANYON ESTATES,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,26,40,RESIDENTIAL AREA              ,2,2,0.33,0.33,1.17,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA3301863,OLIVET UNIVERSITY,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,48,212,INSTITUTION                   ,0.25,0.5,0,0.67,0.36,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA3301877,BLOCK 77 WATER COMPANY,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,18,59,RESIDENTIAL AREA              ,4,1.33,0,0,1.33,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA3301879,SHARONDALE MESA HOA,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,244,323,MOBILE HOME PARK              ,0.75,0,0,0.67,0.36,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA3301937,MESQUITE MUTUAL WATER CO.,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,16,42,RESIDENTIAL AREA              ,0,1,0,1,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA3301943,PLANTATION ON THE LAKE PARK,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,581,897,MOBILE HOME PARK              ,0,0,0,0.33,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA3301990,AMEZCUA - GARCIA WATER,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,79,316,RESIDENTIAL AREA              ,2.5,3,1.67,0.67,1.96,At-Risk,At-Risk,Failing,Failing,1,Y,N,Y,0
CA3303003,GALINDO HOUSING FACILITY,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,38,50,RESIDENTIAL AREA              ,1.5,1.33,0,0.67,0.88,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA3303035,THERMAL PARK,RIVERSIDE,LPA63 - RIVERSIDE COUNTY,COMMUNITY,22,73,MOBILE HOME PARK              ,0,1.33,0.67,0.67,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA3310002,BEAUMONT CHERRY VALLEY WD,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,20878,49241,OTHER RESIDENTIAL AREA        ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,20,N/A,N,N,0
CA3310003,BLYTHE - CITY OF,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,3424,9874,RESIDENTIAL AREA              ,0.75,0.33,0.67,0.33,0.52,--,Not At-Risk,Failing,Failing,7,Y,N,N,0
CA3310004,BOX SPRINGS MUTUAL WC,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,640,3542,OTHER RESIDENTIAL AREA        ,3.63,0,2,0.67,1.58,--,At-Risk,Non-Failing,At-Risk,3,N,N,N,0
CA3310005,DESERT WATER AGENCY,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,23358,74025,OTHER RESIDENTIAL AREA        ,0,0,0.33,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,32,N/A,N,N,0
CA3310006,"BANNING, CITY OF",RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,11535,31179,OTHER RESIDENTIAL AREA        ,0,0,0.33,0.33,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,21,N/A,N,N,0
CA3310007,COACHELLA WATER AUTHORITY,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,9363,42835,RESIDENTIAL AREA              ,0,0.33,0.67,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,6,Y,N,N,0
CA3310008,MISSION SPRINGS WD,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,13484,43223,RESIDENTIAL AREA              ,1.22,0,0.67,0.83,0.68,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,9,N/A,N,N,0
CA3310016,"HEMET, CITY OF",RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,9601,33828,OTHER RESIDENTIAL AREA        ,0,0,0.67,0.67,0.34,--,Not At-Risk,Non-Failing,Not At-Risk,9,N,N,N,0
CA3310017,SOUTH MESA WC,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,3063,10108,OTHER RESIDENTIAL AREA        ,0,0,0,1.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,9,N,N,N,1
CA3310018,HOME GARDENS COUNTY WD,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,860,3095,OTHER RESIDENTIAL AREA        ,0,0,0.67,0.67,0.34,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA3310019,IDYLLWILD WATER DISTRICT,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,1681,2963,RESIDENTIAL AREA              ,0.25,0,0.67,1.67,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,19,N/A,N,N,2
CA3310020,INDIO WATER AUTHORITY,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,25299,83486,OTHER RESIDENTIAL AREA        ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,20,N/A,N,N,0
CA3310022,LAKE HEMET MWD,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,14421,52913,OTHER RESIDENTIAL AREA        ,1.5,0,0.67,1,0.79,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,13,N/A,N,N,2
CA3310025,"NORCO, CITY OF",RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,7447,25037,OTHER RESIDENTIAL AREA        ,0,0,0,0.5,0.13,--,Not At-Risk,Non-Failing,Not At-Risk,10,N/A,N,N,0
CA3310026,NUEVO WATER COMPANY,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,1887,6733,OTHER RESIDENTIAL AREA        ,1,0,0.67,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,4,N,N,N,0
CA3310028,RIVERSIDE CSA #122-MESA VERDE,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,328,766,OTHER RESIDENTIAL AREA        ,0.5,1.33,0.33,1,0.79,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA3310030,PINE COVE WATER DISTRICT,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,1116,1540,OTHER RESIDENTIAL AREA        ,0.25,0,0.67,0.33,0.31,--,Not At-Risk,Non-Failing,Not At-Risk,18,N/A,N,N,0
CA3310032,"SAN JACINTO, CITY OF",RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,4552,18950,RESIDENTIAL AREA              ,0,0,0.67,0,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,6,N,N,N,0
CA3310033,SANTA ANA RIVER WATER COMPANY,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,1757,6306,OTHER RESIDENTIAL AREA        ,1.5,0,0.67,0.33,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,4,N,N,N,0
CA3310036,WESTERN MWD - MURRIETA DIVISION,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,2863,17077,OTHER RESIDENTIAL AREA        ,0,0,0,0.33,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,4,N,N,N,0
CA3310040,FERN VALLEY WD,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,1177,900,OTHER RESIDENTIAL AREA        ,0,0,1.58,1,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,12,N/A,N,N,0
CA3310044,RUBIDOUX COMMUNITY SD,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,6820,36827,RESIDENTIAL AREA              ,2.31,0,0,1.33,0.91,--,At-Risk,Non-Failing,At-Risk,7,N,N,N,1
CA3310046,FARM MUTUAL W.C. (THE),RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,1265,4026,OTHER RESIDENTIAL AREA        ,2,0,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA3310047,CABAZON WATER DISTRICT,RIVERSIDE,DISTRICT 20 - RIVERSIDE,COMMUNITY,989,2271,OTHER RESIDENTIAL AREA        ,0,0.33,0,0.33,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
